platform,category,ranking_type,ranking_label,rank,product_name,product_key,price,original_price,discount_rate,discount_amount,delivery_type,review_count,rating,price_group,review_group,is_top20,duplicate_in_ranking_type,duplicate_in_platform,duplicate_overall,collected_date,source_file
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,60,"종근당건강 프로폴리스 플러스, 60정, 1개",종근당건강 프로폴리스 플러스,7940,13900.0,42,5960.0,로켓배송,8373,4.5,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,61,"종근당건강 프리미엄 비타C 1000플러스, 100정, 1개",종근당건강 프리미엄 비타c 1000플러스,10450,12450.0,16,2000.0,로켓배송,25532,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,62,"홀리데이즈 멀티비타민 앤 미네랄 포우먼, 90정, 1개",홀리데이즈 멀티비타민 앤 미네랄 포우먼,12900,16900.0,23,4000.0,로켓배송,3764,5.0,low_price,low_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,63,"정원삼 6년근 고려홍삼정 365 스틱 선물세트 + 쇼핑백, 300g, 1개",정원삼 6년근 고려홍삼정 선물세트 쇼핑백 300g,27800,39000.0,28,11200.0,로켓배송,76054,5.0,mid_price,high_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,64,"센트룸 우먼 더블업, 60정, 1개",센트룸 우먼 더블업,26800,29000.0,7,2200.0,로켓배송,1617,5.0,mid_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,65,"태양생활건강 뽀롱뽀롱 뽀로로 비타민C, 50정, 3개",태양생활건강 뽀롱뽀롱 뽀로로 비타민c,6090,,0,,로켓프레시,200,5.0,low_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,66,"쏘팔코사놀 1000 쏘팔메토 옥타코사놀, 120정, 1개",쏘팔코사놀 1000 쏘팔메토 옥타코사놀,78000,80000.0,2,2000.0,로켓배송,20530,4.5,high_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,67,"오늘부터 슬림카페PRO, 96g, 1개",오늘부터 슬림카페pro 96g,14800,48000.0,69,33200.0,로켓배송,16171,4.5,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,68,"함소아 비타민D 1000IU 60p, 60정, 1개",함소아 비타민d 1000iu 60p,10950,,0,,로켓배송,25250,5.0,low_price,high_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,69,"베베모린 뽀롱뽀롱 뽀로로 비타민C, 50정, 4개",베베모린 뽀롱뽀롱 뽀로로 비타민c,7820,,0,,로켓배송,14219,5.0,low_price,mid_review,False,False,False,False,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,70,"동화약품 에스트로타임 갱년기 여성 케어 회화나무열매 대두이소플라본 비타민D 영양제, 30정, 1개",동화약품 에스트로타임 갱년기 여성 케어 회화나무열매 대두이소플라본 비타민d 영양제,13760,20000.0,31,6240.0,로켓배송,2032,5.0,low_price,low_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,71,"보령 브레인 두뇌의 인지력엔 포스파티딜세린 PS 300 30g, 60정, 1개",보령 브레인 두뇌의 인지력엔 포스파티딜세린 ps 300 30g,17720,30000.0,40,12280.0,로켓배송,7204,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
coupang,헬스/건강식품,coupang_rank,쿠팡랭킹순,72,"익스트림 밀크씨슬 플러스, 60정, 1개",익스트림 밀크씨슬 플러스,9900,,0,,로켓배송,6342,5.0,low_price,mid_review,False,False,True,True,2026-06-01,2026-06-01-12-19-33-쿠팡-헬스-건강식품-쿠팡랭킹순.xlsx
