app_id,title,review_count,avg_review_score,low_score_rate_1_2,ad_complaint_rate,reward_rate,difficulty_rate,repetition_boredom_rate,bug_performance_rate,payment_iap_rate,positive_fun_rate,avg_risk_signal_count,review_risk_score,developer,genre,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,contains_ads,in_app_purchase,updated,content_rating
where.my.seat.taken.logic.puzzle.brain.mind,Where's My Seat?・Logic Puzzles,100,4.18,0.16,0.26,0.04,0.13,0.0,0.04,0.03,0.47,0.46,12.3,Smartmove Global,Puzzle,4.76,3115.0,55.0,"1,000,000+",1000000,2454374,True,True,True,2026-06-05 10:21:25,Everyone
eu.bandainamcoent.pacman256,PAC-MAN 256 - Endless Maze,100,3.32,0.41,0.02,0.01,0.01,0.03,0.11,0.02,0.3,0.19,12.2,BANDAI NAMCO Entertainment Europe,Arcade,4.1493835,470420.0,28400.0,"10,000,000+",10000000,41576146,True,True,True,2026-04-30 08:22:55,Everyone
com.vitastudio.mahjong,Vita Mahjong,100,4.16,0.19,0.21,0.01,0.06,0.01,0.04,0.04,0.42,0.36,11.65,Vita Studio.,Board,4.782185,5450308.0,61878.0,"100,000,000+",100000000,337761305,True,True,True,2026-06-05 12:49:30,Everyone
com.easybrain.block.puzzle.games,Blockudoku®: Block Puzzle Game,100,3.7,0.29,0.15,0.02,0.02,0.01,0.03,0.02,0.29,0.23,11.399999999999999,Easybrain,Puzzle,4.567452,1272085.0,32782.0,"100,000,000+",100000000,122182398,True,True,True,2026-06-03 16:23:43,Everyone
com.playrix.fishdomdd.gplay,Fishdom,100,3.36,0.38,0.02,0.03,0.14,0.01,0.02,0.2,0.42,0.39,10.850000000000001,Playrix,Puzzle,4.6042867,6710330.0,294863.0,"100,000,000+",100000000,468012617,True,False,True,2026-05-20 20:49:18,Everyone
com.Seriously.BestFiends,Best Fiends - Match 3 Puzzles,100,3.97,0.22,0.14,0.07,0.11,0.01,0.04,0.11,0.56,0.41,10.850000000000001,Playtika,Casual,4.619021,2274844.0,185313.0,"50,000,000+",50000000,72227587,True,True,True,2026-05-22 16:42:39,Everyone
com.easybrain.jigsaw.puzzles,Jigsaw Puzzles - Puzzle Games,100,4.0,0.21,0.19,0.01,0.03,0.01,0.01,0.04,0.26,0.28,10.700000000000001,Easybrain,Puzzle,4.759636,2296631.0,106442.0,"100,000,000+",100000000,147084069,True,True,True,2026-05-20 14:51:49,Everyone
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,100,3.66,0.3,0.09,0.01,0.02,0.02,0.06,0.02,0.39,0.21,10.7,Gameloft SE,Casual,4.440686,10454046.0,587925.0,"500,000,000+",500000000,578204097,True,True,True,2026-06-03 17:11:36,Everyone 10+
net.peakgames.toonblast,Toon Blast,100,3.84,0.26,0.1,0.06,0.09,0.05,0.03,0.09,0.45,0.36,10.600000000000001,Peak,Puzzle,4.634036,4588135.0,390008.0,"100,000,000+",100000000,129984200,True,True,True,2026-06-05 14:25:05,Everyone
com.king.candycrush4,Candy Crush Friends Saga,100,3.94,0.21,0.07,0.05,0.09,0.03,0.14,0.03,0.49,0.36,10.55,King,Casual,4.67505,1961952.0,152301.0,"50,000,000+",50000000,87664041,True,True,True,2026-06-02 13:12:45,Everyone
